source_id,source_so_ky_hieu,target_so_ky_hieu,trigger,evidence
166170,32/2024/QH15,47/2010/QH12,"Sửa đổi, bổ sung","3. Luật Các tổ chức tín dụng số 47/2010/QH12 đã được sửa đổi, bổ sung một số điều theo Luật số 17/2017/QH14 hết hiệu lực kể từ ngày Luật này có hiệu lực thi hành, trừ quy định tại các khoản 1, 2, 3, 4, 8, 9, 12 và 14 Điều 210 của Luật này."
166170,32/2024/QH15,17/2017/QH14,"Sửa đổi, bổ sung","3. Luật Các tổ chức tín dụng số 47/2010/QH12 đã được sửa đổi, bổ sung một số điều theo Luật số 17/2017/QH14 hết hiệu lực kể từ ngày Luật này có hiệu lực thi hành, trừ quy định tại các khoản 1, 2, 3, 4, 8, 9, 12 và 14 Điều 210 của Luật này."
112025,73/2016/NĐ-CP,45/2007/NĐ-CP,"Sửa đổi, bổ sung","2. Nghị định số 45/2007/NĐ-CP ngày 27 tháng 3 năm 2007 của Chính phủ quy định chi tiết thi hành một số điều của Luật kinh doanh bảo hiểm; Nghị định số 123/2011/NĐ-CP ngày 28 tháng 12 năm 2011 của Chính phủ quy định chi tiết thi hành một số điều của Luật sửa đổi, bổ sung một số điều của Luật kinh doa"
112025,73/2016/NĐ-CP,123/2011/NĐ-CP,"Sửa đổi, bổ sung","2. Nghị định số 45/2007/NĐ-CP ngày 27 tháng 3 năm 2007 của Chính phủ quy định chi tiết thi hành một số điều của Luật kinh doanh bảo hiểm; Nghị định số 123/2011/NĐ-CP ngày 28 tháng 12 năm 2011 của Chính phủ quy định chi tiết thi hành một số điều của Luật sửa đổi, bổ sung một số điều của Luật kinh doa"
112025,73/2016/NĐ-CP,68/2014/NĐ-CP,"Sửa đổi, bổ sung","2. Nghị định số 45/2007/NĐ-CP ngày 27 tháng 3 năm 2007 của Chính phủ quy định chi tiết thi hành một số điều của Luật kinh doanh bảo hiểm; Nghị định số 123/2011/NĐ-CP ngày 28 tháng 12 năm 2011 của Chính phủ quy định chi tiết thi hành một số điều của Luật sửa đổi, bổ sung một số điều của Luật kinh doa"
112025,73/2016/NĐ-CP,46/2007/NĐ-CP,"Sửa đổi, bổ sung","2. Nghị định số 45/2007/NĐ-CP ngày 27 tháng 3 năm 2007 của Chính phủ quy định chi tiết thi hành một số điều của Luật kinh doanh bảo hiểm; Nghị định số 123/2011/NĐ-CP ngày 28 tháng 12 năm 2011 của Chính phủ quy định chi tiết thi hành một số điều của Luật sửa đổi, bổ sung một số điều của Luật kinh doa"
38128,37/2014/TT-NHNN,46/2010/QH12,Căn cứ,Căn cứ Luật Ngân hàng Nhà nước Việt Nam số 46/2010/QH12;
38128,37/2014/TT-NHNN,156/2013/NĐ-CP,Căn cứ,"Căn cứ Nghị định số 156/2013/NĐ-CP ngày 11/11/2013 của Chính phủ quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Ngân hàng Nhà nước Việt Nam;"
38128,37/2014/TT-NHNN,11/11/2013,Căn cứ,"Căn cứ Nghị định số 156/2013/NĐ-CP ngày 11/11/2013 của Chính phủ quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Ngân hàng Nhà nước Việt Nam;"
38128,37/2014/TT-NHNN,40/2012/NĐ-CP,Căn cứ,"Căn cứ Nghị định số 40/2012/NĐ-CP ngày 02/5/2012 của Chính phủ về nghiệp vụ phát hành tiền; bảo quản, vận chuyển tài sản quý và giấy tờ có giá trong hệ thống Ngân hàng Nhà nước, tổ chức tín dụng và chi nhánh ngân hàng nước ngoài;"
38128,37/2014/TT-NHNN,02/5/2012,Căn cứ,"Căn cứ Nghị định số 40/2012/NĐ-CP ngày 02/5/2012 của Chính phủ về nghiệp vụ phát hành tiền; bảo quản, vận chuyển tài sản quý và giấy tờ có giá trong hệ thống Ngân hàng Nhà nước, tổ chức tín dụng và chi nhánh ngân hàng nước ngoài;"
38128,37/2014/TT-NHNN,23/2009/TT-NHNN,thay thế,"Thông tư này có hiệu lực thi hành từ ngày 12 tháng 01 năm 2015 và thay thế Thông tư số 23/2009/TT-NHNN ngày 02/12/2009 quy định việc thiết kế mẫu, chế bản và quản lý in, đúc tiền Việt Nam."
38128,37/2014/TT-NHNN,02/12/2009,thay thế,"Thông tư này có hiệu lực thi hành từ ngày 12 tháng 01 năm 2015 và thay thế Thông tư số 23/2009/TT-NHNN ngày 02/12/2009 quy định việc thiết kế mẫu, chế bản và quản lý in, đúc tiền Việt Nam."
26750,67/2011/QH12,51/2001/QH10,Căn cứ,"Căn cứ Hiến pháp nước Cộng hòa xã hội chủ nghĩa Việt Nam năm 1992 đã được sửa đổi, bổ sung một số điều theo Nghị quyết số 51/2001/QH10;"
163441,46/2023/NĐ-CP,73/2016/NĐ-CP,"Sửa đổi, bổ sung","a) Nghị định số 73/2016/NĐ-CP ngày 01 tháng 7 năm 2016 của Chính phủ quy định chi tiết thi hành Luật Kinh doanh bảo hiểm và Luật sửa đổi, bổ sung một số điều của Luật Kinh doanh bảo hiểm, trừ các Điều 10, 61, 62, 63, 64, 65, 66, 67. Các Điều 10, 61, 62, 63, 64, 65, 66, 67 của Nghị định số 73/2016/NĐ"
163441,46/2023/NĐ-CP,151/2018/NĐ-CP,"Sửa đổi, bổ sung","b) Chương III Nghị định số 151/2018/NĐ-CP ngày 07 tháng 11 năm 2018 của Chính phủ sửa đổi, bổ sung một số Nghị định quy định về điều kiện đầu tư, kinh doanh thuộc phạm vi quản lý nhà nước của Bộ Tài chính;"
163441,46/2023/NĐ-CP,80/2019/NĐ-CP,"Sửa đổi, bổ sung","c) Điều 1 Nghị định số 80/2019/NĐ-CP ngày 01 tháng 11 năm 2019 của Chính phủ sửa đổi, bổ sung một số điều của Nghị định số 73/2016/NĐ-CP ngày 01 tháng 7 năm 2016 của Chính phủ quy định chi tiết thi hành Luật Kinh doanh bảo hiểm và Luật sửa đổi, bổ sung một số điều của Luật Kinh doanh bảo hiểm, Nghị "
163441,46/2023/NĐ-CP,98/2013/NĐ-CP,"Sửa đổi, bổ sung","c) Điều 1 Nghị định số 80/2019/NĐ-CP ngày 01 tháng 11 năm 2019 của Chính phủ sửa đổi, bổ sung một số điều của Nghị định số 73/2016/NĐ-CP ngày 01 tháng 7 năm 2016 của Chính phủ quy định chi tiết thi hành Luật Kinh doanh bảo hiểm và Luật sửa đổi, bổ sung một số điều của Luật Kinh doanh bảo hiểm, Nghị "
